target	context	f_tc	f_t	f_c	pmi
avion	abandonner	1.00	1930.00	4.00	0.478870
avion	navire	1.00	1930.00	1.00	1.865164
avion	atmosphère	4.00	1930.00	4.00	1.865164
avion	expulser	1.00	1930.00	1.00	1.865164
avion	lever	3.00	1930.00	4.00	1.577482
avion	aéroport	2.00	1930.00	3.00	1.459699
avion	neuf	3.00	1930.00	11.00	0.565881
avion	content	2.00	1930.00	3.00	1.459699
avion	trajectoire	1.00	1930.00	2.00	1.172017
avion	oups	1.00	1930.00	1.00	1.865164
avion	grâce	1.00	1930.00	7.00	-0.080746
avion	actuel	1.00	1930.00	3.00	0.766552
avion	début	1.00	1930.00	11.00	-0.532731
avion	glace	1.00	1930.00	3.00	0.766552
